Nazwa;emisja szkodliwych gazów na km2;Wspó³czynnik zawartych ma³¿eñstw;Nak³ady inwestycyjne w przedsiêbiorstwach ;Poszkodowani w wypadkach przy pracy;wspó³czynnik skolaryzacji netto;Stopa bezrobocia;Przeciêtne wynagrodzenie brutto
;2021;2021;2021;2021;2021;2021;2021
;tona;1/1000 mieszkañcow;Na 1 mieszkañca;Na 1000 osób pracuj¹cych;%;%;z³
Powiat szczycieñski;34,06;4,3;3106;7,86;89,94;9,3;4946,10
Powiat wêgorzewski;5,36;3,5;990;9,62;88,00;16,4;4766,72
Powiat m. Elbl¹g;3796,11;4,5;3281;7,10;97,44;6,8;5423,69
Powiat m. Olsztyn;4843,20;4,4;8877;4,81;108,90;2,2;5902,66
Powiat chodzieski;20,51;3,8;4165;7,39;96,87;7,5;5006,64
Powiat czarnkowsko-trzcianecki;238,29;4,0;6229;8,59;93,49;3,7;5327,99
Powiat gnieŸnieñski;100,22;4,6;2777;5,98;95,38;4,3;5162,09
Powiat gostyñski;177,92;4,9;5581;4,98;97,39;5,4;5174,68
Powiat jarociñski;18,58;4,3;3625;4,26;96,36;4,9;4720,74
Powiat kaliski;109,28;3,9;3639;4,75;84,39;3,2;4553,66
Powiat kêpiñski;14,55;4,7;7258;3,74;99,38;1,7;4244,56
Powiat kolski;102,73;4,4;3064;5,41;93,92;3,6;5346,81
Powiat koniñski;40,71;4,7;2156;4,25;86,42;9,9;4457,33
Powiat koœciañski;0,03;4,7;2910;4,64;95,54;2,8;5127,41
Powiat krotoszyñski;47,04;4,8;16649;3,78;95,99;2,6;4285,52
Powiat leszczyñski;9,16;5,3;3990;8,03;84,33;2,2;5274,63
Powiat miêdzychodzki;104,53;3,9;3577;4,54;94,39;5,8;4891,36
Powiat nowotomyski;55,13;4,4;5258;8,17;97,59;2,3;5215,49
Powiat ostrowski;114,99;4,9;4316;8,21;95,24;2,8;4944,70
Powiat ostrzeszowski;15,81;5,1;3388;5,28;95,98;3,4;4936,59
Powiat pilski;124,56;4,3;5212;8,03;94,99;4,7;5371,98
Powiat poznañski;15,98;4,3;7117;5,36;88,45;1,6;5054,35
Powiat rawicki;78,07;4,6;7241;7,39;94,67;3,5;4698,39
Powiat s³upecki;27,59;4,1;2186;5,52;94,69;7,5;4990,83
Powiat szamotulski;132,49;4,2;8023;7,18;94,52;3,5;5726,53
