Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
1414000,Powiat nowodworski,"87,08","4,9",11318,"3,96","95,22","6,3","6814,66"
1415000,Powiat ostrołęcki,"6,21","4,9",2289,"4,79","84,25","11,5","4940,39"
1416000,Powiat ostrowski,"111,14","4,4",2868,"3,03","93,22","9,8","5168,08"
1417000,Powiat otwocki,"24,89","4,2",4502,"3,92","95,80","4,3","5622,45"
1418000,Powiat piaseczyński,"2,36","4,0",4489,"2,02","96,02","3,1","5664,70"
1419000,Powiat płocki,"1,18","4,6",2108,"4,19","81,42","13,0","5147,98"
1420000,Powiat płoński,"49,36","4,4",1419,"2,50","95,08","9,5","5279,65"
1421000,Powiat pruszkowski,"532,98","3,7",7636,"4,72","92,81","2,9","6773,28"
1422000,Powiat przasnyski,"19,45","4,3",2865,"2,69","94,74","9,4","5095,27"
1423000,Powiat przysuski,"25,89","4,9",1092,"1,79","92,56","19,3","5190,17"
1424000,Powiat pułtuski,"17,79","3,9",884,"2,89","95,44","15,1","4975,47"
1425000,Powiat radomski,"20,31","4,6",1732,"3,12","85,89","19,0","4859,10"
1426000,Powiat siedlecki,"8,27","5,1",1563,"5,94","83,95","5,1","4861,68"
1427000,Powiat sierpecki,"48,38","4,3",2807,"1,92","92,52","14,7","4886,81"
1428000,Powiat sochaczewski,"54,24","5,0",6398,"4,74","97,33","4,2","6294,23"
1429000,Powiat sokołowski,"28,44","4,8",6381,"9,36","93,95","6,1","4932,00"
1430000,Powiat szydłowiecki,"29,77","4,5",1044,"2,42","88,65","26,3","4642,61"
1432000,Powiat warszawski zachodni,"38,09","3,8",7808,"3,54","92,27","1,8","6524,02"
1433000,Powiat węgrowski,"8,16","5,1",4945,"3,49","94,64","7,1","5150,92"
1434000,Powiat wołomiński,"48,40","4,5",2438,"3,09","95,69","7,5","5451,36"
1435000,Powiat wyszkowski,"62,86","4,6",3892,"4,31","95,82","3,8","4816,43"
1436000,Powiat zwoleński,"5,51","4,6",860,"3,05","91,06","13,9","4990,00"
1437000,Powiat żuromiński,"14,58","4,6",800,"2,89","92,22","17,1","4781,49"
1438000,Powiat żyrardowski,"103,47","4,9",3372,"3,35","94,41","9,8","5645,54"
1461000,Powiat m. Ostrołęka,"79864,64","4,8",10163,"5,75","115,02","8,2","6091,07"
1462000,Powiat m. Płock,"79250,10","4,1",29138,"4,33","111,30","6,1","7167,40"
1463000,Powiat m. Radom,"2535,57","4,7",5046,"4,48","102,25","10,5","5626,71"
1464000,Powiat m. Siedlce,"5116,75","4,3",2780,"5,06","110,85","4,3","5707,14"
1465000,Powiat m. st. Warszawa,"11356,45","4,6",19592,"3,43","101,89","1,7","7687,58"
1601000,Powiat brzeski,"123,53","3,6",2718,"5,69","91,02","8,3","5157,08"
1602000,Powiat głubczycki,"14,16","3,5",1064,"3,70","89,64","10,6","5181,69"
1603000,Powiat kędzierzyńsko-kozielski,"1977,17","4,2",6143,"8,07","96,03","8,1","6015,26"
1604000,Powiat kluczborski,"67,28","4,8",1013,"7,61","92,21","7,9","5108,36"
1605000,Powiat krapkowicki,"8899,27","4,2",4603,"5,76","93,86","5,9","5787,32"
1606000,Powiat namysłowski,"45,79","4,3",2768,"5,20","91,65","9,0","5293,47"
