"Kod";"Nazwa";"ogółem;2021;[%]";
2467000;"Powiat m. Jastrzębie-Zdrój";4,7;
2468000;"Powiat m. Jaworzno";4,6;
2469000;"Powiat m. Katowice";1,8;
2470000;"Powiat m. Mysłowice";6,0;
2471000;"Powiat m. Piekary Śląskie";6,9;
2472000;"Powiat m. Ruda Śląska";2,6;
2473000;"Powiat m. Rybnik";3,2;
2474000;"Powiat m. Siemianowice Śląskie";4,3;
2475000;"Powiat m. Sosnowiec";6,1;
2476000;"Powiat m. Świętochłowice";5,3;
2477000;"Powiat m. Tychy";2,1;
2478000;"Powiat m. Zabrze";5,2;
2479000;"Powiat m. Żory";3,7;
2601000;"Powiat buski";4,9;
2602000;"Powiat jędrzejowski";7,7;
2603000;"Powiat kazimierski";11,9;
2604000;"Powiat kielecki";9,5;
2605000;"Powiat konecki";11,6;
2606000;"Powiat opatowski";17,1;
2607000;"Powiat ostrowiecki";10,3;
2608000;"Powiat pińczowski";8,1;
2609000;"Powiat sandomierski";7,8;
2610000;"Powiat skarżyski";16,5;
2611000;"Powiat starachowicki";9,8;
2612000;"Powiat staszowski";6,7;
2613000;"Powiat włoszczowski";7,9;
2661000;"Powiat m. Kielce";5,2;
2801000;"Powiat bartoszycki";19,8;
2802000;"Powiat braniewski";18,6;
2803000;"Powiat działdowski";12,4;
2804000;"Powiat elbląski";14,7;
2805000;"Powiat ełcki";12,0;
2806000;"Powiat giżycki";8,9;
2807000;"Powiat iławski";4,2;
2808000;"Powiat kętrzyński";19,8;
2809000;"Powiat lidzbarski";12,7;
2810000;"Powiat mrągowski";9,7;
2811000;"Powiat nidzicki";6,0;
2812000;"Powiat nowomiejski";10,6;
2813000;"Powiat olecki";11,0;
2814000;"Powiat olsztyński";8,0;
2815000;"Powiat ostródzki";9,6;
2816000;"Powiat piski";14,3;
2817000;"Powiat szczycieński";9,3;
2818000;"Powiat gołdapski";9,1;
2819000;"Powiat węgorzewski";16,4;
2861000;"Powiat m. Elbląg";6,8;
2862000;"Powiat m. Olsztyn";2,2;
3001000;"Powiat chodzieski";7,5;
3002000;"Powiat czarnkowsko-trzcianecki";3,7;
3003000;"Powiat gnieźnieński";4,3;
3004000;"Powiat gostyński";5,4;
3005000;"Powiat grodziski";4,4;
3006000;"Powiat jarociński";4,9;
3007000;"Powiat kaliski";3,2;
3008000;"Powiat kępiński";1,7;
3009000;"Powiat kolski";3,6;
3010000;"Powiat koniński";9,9;
3011000;"Powiat kościański";2,8;
3012000;"Powiat krotoszyński";2,6;
3013000;"Powiat leszczyński";2,2;
3014000;"Powiat międzychodzki";5,8;
3015000;"Powiat nowotomyski";2,3;
3016000;"Powiat obornicki";3,7;
3017000;"Powiat ostrowski";2,8;
3018000;"Powiat ostrzeszowski";3,4;
3019000;"Powiat pilski";4,7;
3020000;"Powiat pleszewski";4,2;
3021000;"Powiat poznański";1,6;
3022000;"Powiat rawicki";3,5;
3023000;"Powiat słupecki";7,5;
3024000;"Powiat szamotulski";3,5;
3025000;"Powiat średzki";5,5;
3026000;"Powiat śremski";2,2;
3027000;"Powiat turecki";3,9;
3028000;"Powiat wągrowiecki";5,2;
3029000;"Powiat wolsztyński";2,1;
3030000;"Powiat wrzesiński";4,1;
3031000;"Powiat złotowski";4,8;
3061000;"Powiat m. Kalisz";3,2;
3062000;"Powiat m. Konin";6,3;
3063000;"Powiat m. Leszno";2,8;
3064000;"Powiat m. Poznań";1,6;
3201000;"Powiat białogardzki";17,2;
3202000;"Powiat choszczeński";18,1;
3203000;"Powiat drawski";13,0;
3204000;"Powiat goleniowski";4,4;
3205000;"Powiat gryficki";7,7;
3206000;"Powiat gryfiński";7,7;
3207000;"Powiat kamieński";15,8;
3208000;"Powiat kołobrzeski";4,3;
3209000;"Powiat koszaliński";13,9;
3210000;"Powiat myśliborski";6,3;
3211000;"Powiat policki";4,5;
3212000;"Powiat pyrzycki";12,1;
3213000;"Powiat sławieński";14,4;
3214000;"Powiat stargardzki";7,7;
3215000;"Powiat szczecinecki";14,9;
3216000;"Powiat świdwiński";12,9;
3217000;"Powiat wałecki";8,9;
3218000;"Powiat łobeski";16,0;
3261000;"Powiat m. Koszalin";5,5;
3262000;"Powiat m. Szczecin";3,3;
3263000;"Powiat m. Świnoujście";4,2;
